,Job Title,min salary,max,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply
1333,"Data Analyst (SQL, Tableau)",24000.00,48000.00,"Richardson, TX","Wayne, PA",1001 to 5000 employees,1970,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"Adecco, Kforce",-1
1334,DATA ANALYST TEAM — Data Analyst,24000.00,48000.00,"Dallas, TX","Hastings, MN",1 to 50 employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1,-1
1335,Data Analyst,24000.00,48000.00,"Dallas, TX","Rockville, MD",201 to 500 employees,1999,Company - Private,Video Games,Media,Unknown / Non-Applicable,-1,-1
1336,Data Analyst (Product Analytics),24000.00,48000.00,"Dallas, TX","Norwalk, CT",1001 to 5000 employees,1998,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),-1,-1
1337,Data Analyst,24000.00,48000.00,"Irving, TX","Dallas, TX",1001 to 5000 employees,1998,Company - Public,Banks & Credit Unions,Finance,$1 to $2 billion (USD),-1,-1
1338,Performance Improvement Data Analyst,24000.00,48000.00,"Dallas, TX","Dallas, TX",1001 to 5000 employees,1921,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1
1339,Data Analyst,24000.00,48000.00,"Dallas, TX","Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1
1340,Data Analyst,24000.00,48000.00,"Plano, TX","Frisco, TX",201 to 500 employees,-1,Nonprofit Organization,-1,-1,Unknown / Non-Applicable,-1,-1
1341,DALLAS Campus Recruiting 2018 - I&D - Data Analyst,24000.00,48000.00,"Dallas, TX","Paris, France",10000+ employees,1967,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),"Accenture, CGI, Sopra Steria",-1
1342,Business Data Analyst,30000.00,53000.00,"Dallas, TX","Red Bank, NJ",1001 to 5000 employees,2005,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"Kforce, Mitchell Martin, Insight Global",-1
1343,"Analyst, Data & Design",30000.00,53000.00,"Dallas, TX","Dallas, TX",10000+ employees,1867,School / School District,Preschool & Child Care,Education,$1 to $2 billion (USD),-1,-1
1344,Data Analyst,30000.00,53000.00,"Irving, TX",-1,-1,-1,-1,-1,-1,-1,-1,-1
1345,Data Quality Analyst,30000.00,53000.00,"Dallas, TX","Dallas, TX",501 to 1000 employees,2017,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,TRUE
1346,Data Analyst,30000.00,53000.00,"Dallas, TX","Tampa, FL",10000+ employees,1966,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),-1,-1
1347,Data Analyst,30000.00,53000.00,"Dallas, TX","Dallas, TX",1 to 50 employees,1999,Company - Private,Investment Banking & Asset Management,Finance,$5 to $10 million (USD),-1,-1
1348,"Analyst I, Data & Design",30000.00,53000.00,"Dallas, TX","Dallas, TX",10000+ employees,1867,School / School District,Preschool & Child Care,Education,$1 to $2 billion (USD),-1,-1
1349,Data Analyst,30000.00,53000.00,"Irving, TX","Santa Ana, CA",10000+ employees,1889,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),-1,-1
1350,Client Data Analyst,30000.00,53000.00,"Dallas, TX","Dallas, TX",501 to 1000 employees,2017,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,TRUE
1351,HR Data Analyst II,30000.00,53000.00,"Dallas, TX","Washington, DC",1001 to 5000 employees,1913,Government,Federal Agencies,Government,Unknown / Non-Applicable,"FDIC, Office of the Comptroller of the Currency, SEC",-1
1352,Data Analyst,30000.00,53000.00,"Dallas, TX",-1,-1,-1,-1,-1,-1,-1,-1,-1
1353,Healthcare Data Analyst,30000.00,53000.00,"Dallas, TX","Yakima, WA",51 to 200 employees,2010,Company - Private,Health Care Services & Hospitals,Health Care,$10 to $25 million (USD),-1,-1
1354,IGNITE Graduate Development Program Application Developer / Data Scientist / Business Analyst,30000.00,53000.00,"Irving, TX",-1,-1,-1,-1,-1,-1,-1,-1,-1
1355,Data Analyst II,30000.00,53000.00,"Grapevine, TX","Grapevine, TX",1001 to 5000 employees,1971,Subsidiary or Business Segment,Industrial Manufacturing,Manufacturing,$2 to $5 billion (USD),-1,-1
1356,Data Analyst,30000.00,53000.00,"Dallas, TX","Dallas, TX",10000+ employees,1933,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$5 to $10 billion (USD),"GATX, BNSF Railway",-1
1357,Data Analyst,30000.00,53000.00,"Plano, TX","Atlanta, GA",1001 to 5000 employees,-1,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1
1358,System/Data Analyst,30000.00,53000.00,"Irving, TX","Mumbai, India",10000+ employees,1997,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,"Infosys, Accenture, Capgemini",-1
1359,HR Data Analyst II,30000.00,53000.00,"Dallas, TX","Richmond, VA",1001 to 5000 employees,1914,Nonprofit Organization,Banks & Credit Unions,Finance,$5 to $10 billion (USD),-1,-1
1360,Data Analyst,30000.00,53000.00,"Plano, TX","New York, NY",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,Less than $1 million (USD),-1,-1
1361,Data Reporting Analyst,30000.00,53000.00,"Dallas, TX","Utica, MI",501 to 1000 employees,2004,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1
1362,Sr Data Integrity Analyst,30000.00,53000.00,"Dallas, TX","Dallas, TX",1001 to 5000 employees,1906,Company - Public,Oil & Gas Services,"Oil, Gas, Energy & Utilities",$2 to $5 billion (USD),-1,-1
